FilmID,ReviewID,SentenceID,Sentence,Label
6,2,49,"likovi su u boljem značenju riječi nedorečeni, ali je to problem kod svih akcijskih filmova.",2
36,1,6,tako je nastao intrigantan “nevidljivi čovjek” u kojem je elisabeth moss suočena s borbom protiv nevidljivog nasilnika.,1
33,1,106,"uz svu patnju i bol, laszlo je rekao svojoj ženi: „i will follow you until i die…“",1
18,1,11,"da nema takvih notornih poteza, “papin egzorcist” bi se mogao provući s napola prolaznom ocjenom temeljenom uglavnom na karizmi russella crowea, uz dodate bodove za glas demona koji pripada ralphu inesonu, glumcu kojeg ljubitelji filmova strave pamte po sjajnoj ulozi u “the witch” roberta eggersa.",2
10,6,35,"različiti zvukovi i muzika pojačaju scene i kadrove gdje se nađu, što je veća istina u vezi horor filmova poput aliena.",1
12,3,21,"čovjek koji je postao simbol francuske, vojskovođa pred kojim je drhtala europa i veliki dio europe najveći je poraz (prije onih na bojnom polju) doživio u vlastitoj spavaćoj sobi.",1
12,1,84,"scott za još snažniji dojam koristi jako puno krupnih kadrova, a što psihičko i fizičko nasilje istovremeno čini privlačnim i zastrašujućim.",1
21,2,12,"njihova kemija na ekranu je, prema riječima sandersa, ključna za uspjeh filma.",0
11,3,18,"radnja prati završne dane građanskog rata, u kojima fotoreporterka lee (koju je utjelovila kirsten dunst) zajedno s novinarom joelom (wagner moura) i sammyjem (stephen mckinley henderson), pokušava doći do washingtona prije nego što ga pobjednička strana osvoji.",1
2,2,20,"iako se u filmu scena odvija na rođendanskoj zabavi, gdje svi prijatelji bridget jones sline za mladim i zgodnim roxsterom, jasno je o čemu se radi.",1
14,4,25,"naime, u posljednjih 2-3 godine, donijeli su nam neke od filmova o kojima se najviše pričalo.",1
33,1,91,"ta (sveta?) zemlja je pod konstantnim napadom onih koji je žele uništiti (od 1948., ako ne i od prije), kao što su i sad pod napadom (kako to populisti govore) – od migrantskog vala.",1
12,4,5,"u prazninu ulazi phoenixov napoleon, 24-godišnji korzikanski topnički zapovjednik čiji je oštar intelekt za strategiju zasjenjen samo njegovim karijernim težnjama.",1
38,1,19,"sve je u njenom životu posloženo na pravi način, ali kada se zagrebe ispod površine njene privatnosti i osobnosti može se pronaći nezadovoljstvo.",1
28,3,2,"redatelj osgood perkins kreirao je zlokoban, atmosferičan i mračan film koji naprosto hipnotizira gledatelje.",1
28,1,2,perkins je jezivo uvjerljiv u ulozi čovjeka koji…vodi motel i neće dopustiti nikome remećenja odnosa između njega i pokojne majke.,1
12,1,57,"i dok na prvi pogled takva scena djeluje tiho, mirno i povučeno, ono što sam osjećao gledajući ih na velikom platnu bilo je sve suprotno od toga.",0
9,2,41,prikaz tih vizija i mističnog carstva cassiene mreže koja se neprestano povezuje najkreativniji je element madame web.,0
25,1,23,tim svim temama gunn se nije mogao kvalitetno pozabaviti.,2
10,6,40,"fede alvarez je napisao i režirao ovaj film, te mu je ovo prvi alien na kojemu je radio.",1
8,2,3,jednu od glavnih uloga tumači woody harrelson a tu su još finn cole i simu liu.,1
11,1,8,radnja filma vodi nas u blisku budućnost – teritorij sad-a poprište je krvavog građanskog rata.,1
37,1,8,"naravno, prvi rezultati kritike i publike, kao i rezultat na kino – blagajnama diljem svijeta…odreda pokazuju da je coppola – apsolutno podbacio.",2
37,1,7,o rezultatu sve znamo – apokalipsa je remek djelo.,0
20,4,3,venom: the last dance počinje odmah nakon kratkog putovanja eddieja i venoma kroz mcu svijet u filmovima venom: let there be carnage i post credit scenu spider-man: no way home.,1
23,1,2,"već tada je spomenuta “a24” u ponudi imala niz zanimljivijih, intrigantnih i gledanja vrijednih naslova.",1
14,4,22,a prošli životi doista jesu veliki film 2023. godine.,0
33,1,11,i u glavi mi je odmah bila balada u2-a (iz scorseseovog filma „bande new yorka“) – „the hands that built america“.,1
31,1,23,"priroda, tako, ne diskriminira na osnovu toga je li netko tamnosiva maca, smeđe vodenprase, bijeli sekretar, sivo-bijelo-crni lemur ili neki od raznobojnih pasa – te su površne i površinske različitosti potpuno nevažne, jer u jednom trenutku svi oni imaju zajednički cilj i surađuju, iako su naizgled sasvim nespojivi, a to je ono što ovom filmu daje još jednu dodatnu razinu ljepote.",0
39,1,16,protiv rohana i njegovih stanovnika….,1
39,1,13,na dvor kralja helma dolaze freca i njegov sin wulf koji želi oženiti heru.,1
38,1,4,"četiri godine nakon “žene koja se umire”, nicole kidman je postala jedna od najvećih ženskih glumačkih figura hollywooda – u društvu supruga toma cruisea izabrana je za interpretaciju glavnih protagonista u posljednjem filmu stanleyja kubricka poznatog pod naslovom “oči širom zatvorene”.",1
23,1,15,"sve navedeno nisu mane – upravo suprotno – klaustrofobičan ugođaj filma, radnja u zatvorenom prostoru i dijalozi zapravo su aduti filma.",0
14,3,4,"zaplet nastaje kada obitelj na jung emigrira u kanadu, ona postane nora i izgubi kontakt sa prijateljima iz koreje.",1
28,4,15,"priča koju je perkins osmislio za film sakupljač duša nazvana je “u duhu klasičnih holivudskih psiholoških trilera“, dok je nicolas cage koji također producira film, u razgovoru s legendarnim redateljem johnom carpenterom rekao kako se u filmu radi o “liku koji čuje glasove. to je poput opsjednutog geppetta koji izrađuje lutke.”",1
19,3,3,"ponekad, kada tv pilot ne obavi svoj posao da privuče vašu pozornost, čut ćete da trebate pogledati nekoliko epizoda prije nego što stvari krenu na bolje.",1
37,1,30,"dakle, od završetka apokalipse, ffc je sanjao svoj privatni (megalomanski) projekt, sf dramu u kojoj bi isprepleo antičke junake i postmodernu.",1
6,4,12,"nastavak priče nam je već interno poznat, samo se nadamo da će se ovaj film ljudima svidjeti onoliko koliko je dovoljno da nastavimo pričati priču o ovim likovima.",1
12,1,43,"pa ipak, poveznica između ta dva svijeta definitivno se oslikava kroz njegovu opsesiju, odnosno bolje rečeno žudnju prema josephine a koja je bila toliko velika kao i žudnja za osvajanjem svijeta.",1
5,2,7,"priča govori o robotu imena rozzum-7134, koji se u filmu skraćeno naziva roz, koji uslijed oluje završava na nenastanjenom otoku na kojem žive samo životinje.",1
11,1,22,"za zarobljene, ali često i za civile.",1
12,3,31,vrlo dobra je i vanessa kirby u ulozi josephine – i to je sve važno kada je o glumačkoj ekipi filma riječ.,0
2,3,36,u prilog tomu ide što su svi glavni likovi napisani veoma dobro i da svaki od njih nosi određeni šarm.,0
22,2,5,"priča filma je vrlo jednostavna – obitelj kupuje i useljava se u novu kuću, bliže boljem školskom okrugu kako bi zlatni sin, plivač tyler mogao imati veće izglede za dobivanje školarine.",1
10,5,6,"radnja se vrti oko male zajednice kolonista koji se suočavaju sa smrtonosnim neprijateljem, bez pomoći izvana i bez resursa za bijeg.",1
33,1,27,"s druge strane, kod brodyjevog laszla totha, mi ne vidimo praktički ništa iz njegove brutalne prošlosti u logoru smrti (samo kratke početne flashback-ove supruge i nećakinje), ali osjetimo patnju (prvenstveno migrantsku patnju u americi) kroz njegova pisma ženi (koja je također, sa nećakinjom, preživjela dachau te su ostali razdvojeni i poslije rata) te ga prvenstveno, gledamo kao – migranta, koji se (ne)snalazi u sad-u.",1
3,1,49,"nažalost, izostala je nešto detaljnija realizacija same ideje koja bi film podigla na još jednu višu razinu.",2
6,1,6,"srećom, i u njima je bio uspješan, a što dokazuju iznimno popularni filmovi koje je režirao: „atomic blonde“, „deadpool 2“ i „bullet train“.",0
12,6,5,"morao se britanski filmaš suočiti s kinematografskim nasljeđem abela gancea i njegovog nijemog petosatnog spektakla, sergeja bondarčuka i njegovog „waterlooa“ i kinga vidora te njegove adaptacije tolstojevog romana „rat i mir“, mada u potonja dva napoleon svakako nije bio jedini glavni i centralni lik, ako je to bio uopće.",1
5,2,22,"pri tome, dakako, ni roz ni fink ne gube sebe – oni ne postaju druge osobe, ne radi se o promjeni temeljnog koda, da koristimo prikladnu terminologiju, već samo o novoj verziji softvera koja nas čini boljim verzijama nas samih.",1
12,3,29,tijekom ruska avanture u kojoj je pod njegovim zapovjedništvom poginulo više stotina tisuća vojnika snažno je dotaknut ego i samodopadnost bonapartea koji neracionalno gura vojnike u smrt zbog obračuna s ruskim vladarom.,1
23,1,31,"heretik je psihološki triler uz dodatak horora koji slučajni susret između vjerskih aktivistkinja i čovjeka u potrazi za vjerom pretvara u napetu, intrigantnu i, na kraju, krvavu priču koja u izvrsnom finalu šalje upečatljivu poruku.",0
17,4,9,"ako vam se činilo da gore navedeno podsjeća na quest, odnosno njegov početak, niste u krivu.",1
10,4,25,"ali usredotočimo se najprije na ono što funkcionira, i to dobro: álvarez točno razumije kako i kada primijeniti alienove najikonskije slike.",0
10,5,12,"weyland-yutani je prisiljava, zajedno s mnogim drugim mladim siročadima na koloniji, na dužničko ropstvo.",1
17,4,24,"svi ovi likovi ubačeni su u zabavnu avanturu, koju odlikuje solidna priča, dobar humor, te zaista odlične vizualije.",0
28,3,4,"film sakupljač duša (longlegs, 2024.) jedan je od filmova o kojem se u posljednje vrijeme najviše priča.",1
12,1,38,"njegova snažna osobnost više je djelovala kao dio predstave, pa mi je bilo uistinu zanimljivo gledati tu njegovu podvojenu ličnost, a koja mi se kasnije preslikala i općenito na sam doživljaj filma.",0
17,1,10,"s obzirom na neslavnu prošlost serijala, vijest o novoj adaptaciji dočekao sam s priličnom dozom skeptičnosti, a moje sumnje dodatno su se povećale jednom kada su počeli izlaziti traileri.",2
11,3,15,upravo suprotno.,1
33,1,116,"svoje traume je liječio crtajući i gradeći brutalna arhitektonska čuda, tj. u filmu se briše granica između arhitektonskog smjera (brutalizma) i brutalnosti (života) glavnih junaka.",1
28,2,17,"vremenom radnje smještenom u devedesete godine prošlog stoljeća, perkins ukazuje na svoje filmske reference, a to su demmeov ""kad jaganjci utihnu"" i fincherov ""sedam"".",1
32,2,35,"a, ovo je i hipnotizirajuća bajka (ponovimo to još jednom) zahvaljujući izazovnoj ljepoti celeste della porte, koja će vas nenametljivo uvući u svoj (sorrentinijev) svijet.",0
12,7,19,"na filmu je to prikazano kroz ljubavnika hippolyte charlesa, te nije naodmet spomenuti scenu u kojoj sam napoleon kad se pravda direktoriju za odlazak iz egipta, među inim razlozima navodi i taj da mu je žena drolja.",0
37,1,2,"prvi (kraći) dio je bio do snimanja legendarne „apokalipse danas“, a duži dio karijere je od premijere tog filma, sve do danas.",1
13,5,20,"triet svakom koraku postavlja zamke, tjerajući vas da zauzmete stranu dok u pozadini gradi jednu sasvim drugu poantu.",1
10,6,42,također se vidi utjecaj evil dead na kojemu je radio 11 godina prije.,1
12,3,32,hladnom iz gledateljeve perspektive.,2
28,3,42,nevjerojatno je uvjerljiv i gotovo manijakalan u interpretaciji dugonogog.,0
7,1,18,"hrvatski rečeno, svaka nova afera nekog ministra ublaži sablazan nad zlodjelom prethodnog probisvijeta.",2
17,5,6,pine je najpoznatiji kao kapetan james kirk u nedavnim star trek filmovima.,1
37,1,22,"dakle, tu su filmovi: mjuzikl one from the heart, the outsiders (mlade zvijezde tadašnjeg hollywooda), drama rumble fish, box office razočarenje the cotton club (richard gere, diane lane i dr.), peggy sue got married, gardens of stone (vojna drama), tucker: čovjek i san (jeff bridges) te nešto slabiji (od prva dva nastavka, a to govore fanovi) kum 3.",1
3,1,43,"odnosno, ima dubine – sve su to vrlo složene teme i problemi – ali izostaje dubinska analiza problema i izostaju činjenice koje bi obogatile naše iskustvo filma.",2
12,6,7,"scott se opredijelio za klasični pristup biografskog filma širokog raspona koji obuhvaća tridesetak godina života, ali i nesvakidašnji fokus kroz koji se taj period posmatra: odnos napoleona i njegove prve supruge (i najveće ljubavi) joséphine.",1
22,2,27,kraj filma je vrlo zanimljiv i za mnoge gledatelje će biti iznenađujući.,0
17,5,37,"bukvalno nema nijednu žensku karakteristiku a hju grant je podjednako šarmantan i duhovit kao u romantičnim komedijama u kojima igra, ali bi ovdje trebao biti negativac!",2
9,3,4,ima nešto silno toplo u tim okama i pogledu te svojevrsnoj nonšalanciji pri tumaču uloge.,0
24,1,3,"ni u jednom se trenutku 36 godina kasnije obnova ne hvali kao važna velikim slovima, iako daje osjećaj težine i veličine postojećim likovima i događajima.",1
33,1,29,"odnosno, možda je takva bila namjera redatelja bradyja corbeta.",1
5,2,8,"i dok su drugi roboti iz „paketa“ uništeni, roz se uspijeva aktivirati te nakon nekog vremena nauči jezik životinja, ali one ju – očekivano – ne prihvaćaju te je doživljavaju kao čudovište.",1
38,2,37,"još jednom kažem, kao da je gledatelj odabran da se pridruži ovim scenama.",1
29,2,1,‘pušteni s lanca’ je film za sve ljubitelje pasa i u prvom redu – odlične komedije.,0
5,2,13,"naravno, film postepeno razbija navedene predrasude, korak po korak, i pokazuje koliko su one glupe u suštini, koliko su nepotrebne, i koliko se i najrazličitije ličnosti mogu – na određen način – spojiti.",0
2,3,27,"on je, jednostavno, novi iskreni pokušaj da ju još jednom zavolite (ili se zaljubite) u bridget.",0
6,1,33,"dakle, karakter lika itekako je povezan s karakterima kaskadera općenito.",0
12,7,41,zgodno za reći da mnogi koji nešto znaju o napoleonu i josephine (koju je odlično odglumila vanessa kirby – možda je pamtite iz mission impossible gdje glumi bijelu udovicu) mogu primjetiti da je joaquine stariji 15 godina od vanesse dočim je napoleon bio mlađi ulov jedne 6 godina starije i iskusnije josephine.,0
39,1,17,“rat rohirrima” nije prvi animirani prikaz međuzemlja – davne 1978. snimljen je crtani “gospodar prstenova” koji je tijekom godina i desetljeća nakon premijere stekao kultni status.,1
16,3,3,"promjene po pitanju ispraznih i ljigavih dijaloga naravno nema, štoviše još su gori i neprestano vrijeđaju inteligenciju gledatelja.",2
12,1,85,taj kontrapunkt između tadašnjeg modernog i drevnog naprosto je vrijedan divljenja.,0
5,2,31,"no, osim tog aspekta, voljeli bismo pohvaliti i jedan drugi element, nešto što je dreamworks već koristio u nastavku mačka u čizmama, a što je unikatna pojava među velikim zapadnim animatorima.",0
17,5,15,sophia lillis glumi druida po imenu doric.,1
19,3,1," bila je to nezgodna vožnja, ali konačno imamo aquaman and the lost kingdom jamesa wana.",1
4,1,28,"ako zastanemo i pogledamo programe hrvatskih televizija, vidjet ćemo da nam nasušno treba komedije kao takve.",2
20,4,13,"scenaristica/redateljica kelly marcel koja je radila na priči s hardyjem, kao što su radili na venomu 2 oslanja se na neobičnu prirodu eddiejeva i venomova odnosa na ugodan način.",0
32,1,50,"u profesionalnom smislu, tijekom godina je vodila filozofske razgovore sa svojim profesorskim mentorom, koji je od nje tražio da istraži „kulturne granice čudesnog“, a da bi bila profesor na katedri potrebno je „biti samo jedno predavanje ispred studenata“",1
20,2,23,"jasno je kada je nešto kvalitetno, a kada nije.",1
4,1,12,"utjeloviti one koji se trude biti duhoviti, a da pritom to ne forsiraju i da sami ispadnu duhoviti.",1
10,6,29,"pojava rooka u filmu je bila neočekivana, te je iskreno cgi za njega jako loš.",2
10,6,37,uzmite u obzir da je radnja ipak u svemiru.,1
28,2,1,"distribucijska i producentska kuća neon odradila je gerilsku marketinšku kampanju za film ""sakupljač duša"" s trailerom koji je uznemirujuć, a pri tome nije dao nikakve naznake o sadržaju, što je zapravo bio dobar potez.",1
16,1,21,"ne može mu parirati čak ni vin diesel kao dom toretto, zaštitno lice franšize, koji je ionako glumački vrlo drven i lišen emocija te je prototip klasičnog akcijskog glumca koji progovara u klišeiziranim one-linerima.",2
12,1,35,"glavna uloga u filmu pripala je joaquinu phoenixu za kojeg ćemo se, vjerujem, svi složiti kako je riječ o jednom od najboljih glumaca današnjice.",0
6,2,8,"poput svih ostalih dobrih akcijskih heroja, colt seavers (ryan gosling) također juri kroz građevine, lovi negativce punim gasom, te ima i najboljeg prijatelja koji je uvijek tu da mu pomogne.",0
14,4,9,"nakon dva desetljeća, oni ponovno dobivaju priliku sresti se u new yorku i prvi put nakon dvadeset godina vidjeti se uživo.",1
26,1,41,samo vas ostavi nijemima.,0
10,4,6,"i kad jednom počne kuhati, ne posustaje.",0
24,2,12,"uz catherine o'haru u sporednoj ulozi, ali i drugim velikim imenima kao što su danny devito i willem dafoe, film je gotovo garantirao uspjeh.",1
9,2,46,"abrazivni, medicinski stručnjak upada u nesreću koja im (izravno ili neizravno) omogućuje da vide izvan prirodnih granica naše stvarnosti.",1
7,2,7,ta tužba donalda sprječava u pronalaženju investitora za njegov projekt izgradnje luksuznog hotela.,1
10,5,28,"“alien: romulus” nije samo nastavak dugogodišnje franšize, već i osvježenje u svijetu znanstvene fantastike.",0
25,1,35,kao cjelina više djeluje kao neki tv film za nedjeljno popodne nego kino naslov.,2
12,1,80,zanimljivo je kako scott koristi obično vrijeme kao oružje za prikaz psihološkog stanja lika.,1
15,1,23,zabavno i jedino dosljedno u filmu je redateljevo uživanje u kreiranju scena gdje megalodoni i ostale podmorski predatori proždiru turiste na obali i otvorenom moru.,0
29,1,15,teško se oteti dojmu kako je redatelj pretjerao s trenucima kada inspiraciju za humor pronalazi u tjelesnim izlučevinama pasa.,2
8,2,10,"glavni protagonist je dubokomorski ronioci chris lemons (finn cole), koji je na morskom dnu preživio bez kisika punih dvadeset i devet minuta i to bez ikakvih (kasnijih) posljedica za svoje zdravlje.",1
14,4,4,nora i hae sung se razdvajaju i gube svaki kontakt.,1
10,5,8,"ovo su elementi koji podsjećaju na atmosferu i strukturu prvih filmova iz serijala, stavljajući naglasak na napetost, izolaciju i neizvjesnost.",1
33,1,80,"na život u kojemu je bila uspješna novinarka (studirala u engleskoj) te joj taj prošli život i edukacija, daju dovoljno municije za borbu u njenoj sadašnjosti (pamtljiva je scena, kad se forsirano smješka na dokolicu obitelji u prirodi).",1
32,3,7,"uvod trailera može se opisati kao čisti seksepil, posebice kada vidimo zgodnu parthenope u kupaćem kostimu.",1
10,3,17,premda bismo vjerojatno ipak najradije vidjeli što bi snimio neill blomkamp.,1
28,4,9,"“već prilično samouvjereno nazivam #longlegs svojim omiljenim filmom oza perkinsa. ti teaseri ga dobro prodaju. misterija/neriješeni slučaj serijskog ubojice divlje je fascinantan i jako uznemirujuć. bez spojlera, naravno, ali kakav je zapravo? nikad nisam vidjela nešto slično. sklona sam biti preopsjednuta detaljima priče, pa su mi ostala neka pitanja… ali, koliko god scenarij bio uvrnut, nekako mi se sviđa što ne mogu prestati razmišljati o tome? doista je jedinstven, ali me podsjeća na ‘zlu kob’ – veliki kompliment s obzirom da mi je to osobni favorit.”",0
33,1,16,"a uvertira je najkraći dio filma, koji ima ukupno 4 dijela, tj. dva poglavlja te spomenuti kraći uvod i (također kraći) epilog.",1
32,1,43,"naime, stalno se pitamo „o čemu ona razmišlja“, te odakle joj „hrabrost“ za eksperimentiranje.",1
20,2,18,"pitanje je i koga knull uopće cilja, s obzirom na to da venom, prema najavama, neće ostati u glavnoj ulozi.",1
22,2,24,"osim gore spomenutog, film je zbir scena (situacija) koje pratimo i koje se redaju.",1
18,1,7,"averyjev film tako se uklapa u cijeli batch istovremeno objavljenih filmova o kojima smo ovih dana pisali, poput “air” i “tetris” koji se odvijaju u osamdesetima i to vam stalno nabijaju na nos soundtrackom.",2
25,1,17,veza scotta i terese nađe se pred kušnjom jer se scott sve više okreće alkoholu…,1
12,4,1,"film se proteže kroz nekoliko desetljeća, od subjektovog uspona na moć sve do njegovih posljednjih, neplemenitih dana u egzilu, dramatizirajući mnoge glavne točke wikipedije između.",1
5,2,17,"i dok se možemo složiti s dr. houseom kada kaže da se ljudi ne mijenjaju, misleći pritom na njihovu core personality, na one osnovne odlike ličnosti koje imamo, slobodna volja koja nam je dana omogućava nam – za razliku od životinja – da promijenimo svoje odluke i svoje ponašanje, što je na temeljnoj razini obrađeno kroz razbijanje predrasuda, a na onoj malo kompleksnijoj kroz promjene koje vidimo kod roz i finka.",0
11,1,12,cilj je razgovarati s predsjednikom i snimiti stanje na terenu.,1
12,1,55,posebno mi je bio zanimljiv njihov uvrnut smisao za humor ali i neka vrsta seksualne perverzije.,0
26,3,48,"ljudi radije šute o ugrozi koja se nadvija nad drugima, ako sami osjećaju da će šutnjom izbjeći tu ugrozu.",1
33,1,92,"i zato su židovi, bilo gdje, izrazito otporni, kao što je i mala obitelj toth bila – otporna, hladna i u konstantnom srazu s onima koji su po njima pljuvali (potajno ili javno).",1
9,2,10,"o cassie dobivamo vrlo malo pozadinskih informacija: ona je bolničarka iz new yorka koja voli american idol i kinesku hranu, ali mrzi obiteljske stvari.",1
6,2,15,kada se pesek pojavi jednostavno zauzme cijeli film svojom pojavom.,0
5,3,12,zastrašujući prizori: neke životinje umiru ali se to uglavnom ne prikazuje.,1
21,1,2,čak je i martin scorsese osvojio “oscara” za film “pokojni” remake južnokorejskog filma.,1
26,3,61,"odavno je sahranjen u masovnu grobnicu neznanih, poniženih, pregaženih, ubijenih, mučenih iz benjaminova poimanja svjetske povijesti kao pobjede.",1
9,2,39,sekvenca podzemne željeznice koja se često pojavljuje u najavama prvi je put da cassie uistinu poduzima akciju kako bi spriječila smrt nakon što je bombardirana vizijama za vizijama dok svaka od djevojaka ulazi u vlak.,1
17,1,21,slične niti vodilje koje su marvelov svijet učinile lako probavljivim širokom krugu ljudi prisutne su i u časti lopova.,1
33,1,51,"heroinska (danas su fentanyl i dr. opijati na tapeti) ovisnost i traganje za srećom, prepuno životnih zapreka, u hladnoći života (čak i kad smo, naoko, na toplome), koju (ne)uspješno podgrijava zippo upaljač glavnog lika.",1
