FilmID	ReviewID	SentenceID	Sentence	Annotator 1	Annotator 2	Annotator 3	Annotator 4	Annotator 5	Annotator 6	
1	1	1	prošla filmska godina, posebice kada su u pitanju horori, bila je iznimno bogata i kvalitetna.	0	0	0	0	0	0	
2	1	1	svima draga junakinja, raščupana bridget jones koja dane najčešće provodi uz cigaretu, alkohol, tv, najčešće u pidžami ili u totalno nestiliziranim trash odjevnim kombinacijama opsjednuta seksom, debeljuckasta (samo u prva dva nastavka doduše), smotana i šeprtljava – poharala je svijet i postala ikona generacije x.	0	0	0	0	0	0		
2	1	2	no, snaga šarma i seksipila (da, da i seksipila) te i takve šašave bridget prenijela se i na narednu generaciju (uz napomenu da nju voli i muška i ženska populacija), a uz ovaj četvrti, posljednji nastavak ju je definitivno zavoljela i generacija z, koja se ipak znači može i zna odlijepiti od tik toka i ekrana svojih smartphonea – ima nade i za “mladež”, dakle.	4	4	4	4	4	4		
2	1	3	nije da je to bitan podatak, ali veseli nas matore.	3	3	3	3	3	3		
2	1	4	pa, bridget jones hvala ti na tome!	0	0	0	0	0	0		
2	1	5	“luda za njim” je dakle (za sada i nadam se da će tako i ostati) posljednji nastavak, završetak popularnog serijala.	3	3	3	3	3	1		
2	1	6	nadam se da će tako i ostati u smislu da se helen fielding neće predomisliti, jer je taj završetak… savršen.	0	0	0	0	0	0		
2	1	7	grehota bi bila da to upropaste.	3	3	3	3	3	3		
2	1	8	scenarij filma potpisuje povratnik dan mazer, abi morgan i naravno kao stalni član tima, spisateljica helen fielding.	1	1	1	1	1	1		
2	1	9	redatelj je nepoznati michael morris koji iza sebe nema ništa specijalno, ali je ovdje napravio prilično odličan posao.	0	0	0	0	0	0		
2	1	10	film ima odličnu dinamiku, teče kao podmazan, bliski kadrovi su sjajni, a bili bi još više da renée zellweger, koja naravno reprizira rolu bridget jones, nije previše botoksirana i fejsliftana, ali začudo ipak uspijeva prenijeti mimiku i grimase stare bridget i njene nove emocije.	3	3	3	3	3	3		
2	1	11	emotivnost je ključ ovog nastavka.	1	1	1	1	1	1		
2	1	12	nikada do sada nismo vidjeli bridget emotivniju nego je ovdje.	1	0	0	0	1	0		
2	1	13	ako prije niste, pustit ćete i suze u ovom nastavku.	0	0	0	0	0	0		
2	1	14	“luda za njim” je film sazrijevanja, žalovanja, nostalgije i nade.	1	1	1	1	1	1		
2	1	15	u ovom nastavku je bridget samohrana majka dvoje školaraca billya i mabel (vrlo zabavnih i pomalo ekscentričnih, na majku), koja još pokušava pohvatati konce života četiri godine nakon što je izgubila supruga marka darcyja koji je ubijen tijekom humanitarne misije u sudanu.	1	1	1	1	1	1		
2	1	16	čežnja za njim i zajedničkim životom je i dalje posve obuzima i teško se nosi s tim da je ostala sama, iako su i dalje oko nje svi nam poznati likovi: booze brothers prijatelji shazzer, tom i jude, majka pamela i otac colin (doduše samo u flashbacku), ginekologinja dr. rawlings (još fantastičnija emma thompson) i bad boy daniel cleaver (genijalan hugh grant) koji bi i dalje poševio i muhu u letu, ali su i njega sustigle godine pa više ne pokušava isto barem s bridget, no zato joj sada dobar prijatelj i povremeni babysitter klincima, uz obavezne djeci neprimjerene komentare i anegdote.	1	1	1	1	1	1		
2	1	17	pa je tako u filmu svakako jedna od najboljih točaka baš povratak role daniela cleavera – i dalje je šarmantan, besraman i drzak, ali ipak zreliji.	0	0	0	0	0	0		
2	1	18	i emotivniji.	1	1	1	1	1	1		
2	1	19	i on.	1	1	1	1	1	1		
2	1	20	prikaz starenja tj. godina (ako hoćete bora) je druga svjetla točka filma.	0	0	0	0	0	0		
2	1	21	totalno kontradiktorno holivudskom must-do i opsesiji mladosti, zategnutosti, savršenosti (bez bora), u ovom filmu su svi mrtvo hladno prikazani baš s borama i uz realno starenje što je pravo osvježenje u jednom holivudskom filmu: daniel, majka, prijatelji, doktorica (čak i bridget, koliko lice renée zellweger to posjeduje) – a opet su svi i šarmantni, simpatični – i neodoljivi.	0	0	0	0	0	0		
2	1	22	treća, ili prva, najsvijetlija točka filma je taj emocionalni prikaz stanja bridget jones.	0	0	0	0	0	0		
2	1	23	ne znajući kako da se nosi s darcyjevim gubitkom, prilično smotana (hoda okolo raščupana i u pidžami) i sva izgubljena, shvaća da neće moći sama tako dalje.	1	1	1	1	1	1		
2	1	24	čak joj niti seks nije bio dugo na pameti dok joj prijateljica miranda (i dalje zabavna sarah solemani) nije postavila profil na tinderu.	1	1	1	1	1	1		
2	1	25	kaos je i dalje prati, čak i kada se vrati na svoj posao tv producentice.	1	1	1	1	1	1		
2	1	26	prati je i kada uz pomoć tindera i djece radi kojih i s kojima zapne na jednom drvetu, upozna mlađahnog budućeg biologa i jako zgodnog roxtera (vrlo dopadljiv leo woodall) i zaplete se u podužu vezu s njim.	1	1	1	1	1	1		
2	1	27	no, realan život čini svoje.	1	1	1	1	1	1		
2	1	28	tu bi sad išli spojleri pa ću prestati.	1	1	1	1	1	1		
2	1	29	kaos je prati i svaki puta kada vodi djecu u školu i komunicira s pomalo uštogljenim mr. wallikerom (vrlo dobar chiwetel ejiofor), učiteljem sina billya.	0	1	1	1	1	1		
2	1	30	i tu sad ima spojlera ako nastavim.	1	1	1	1	1	1		
2	1	31	film je prepun relacija na stare filmove i situacije (“bapske gaće”, mučna večera s “prijateljima” koji joj pametuju, trčanje po ulici dok sniježi i sl.).	1	1	1	1	1	1		
2	1	32	ima i zgodnih relacija na “ponos i predrasude” jane austin i legendarne scene gdje onaj darcy (također u liku colina firtha) izlazi iz jezera (ili za muške ako hoćete: na legendarne james bond scene ursule andress /halle berry kada izlaze iz mora u bikiniju), u ovom filmu je to mlađahni roxster kako izlazi iz bazena na partyu i kada se svima spusti ladica (čeljust) od slinjenja, a bridget ponosno zagrli najvrućeg dečka večeri.	0	0	0	0	0	0		
2	1	33	film i dalje ima pregršt zabavnih dijaloga i scena, iako ne toliko kao u prva tri dijela.	3	3	1	3	3	3		
2	1	34	očito je ovaj put prevaga pala na prikaz emocija i zaokruženi završetak serijala.	1	1	1	1	1	1		
2	1	35	ako mene pitate, odličan balans.	0	0	0	0	0	0		
2	2	1	za razliku od prva tri dijela kad smo se smijali s našom omiljenom heroinom i pratili je u potrazi za savršenim muškarcem, četvrti nastavak nazvan ‘luda za njim‘ istražuje tugu, gubitak, majčinstvo, prijateljstvo - i priliku za novu ljubav.	1	1	1	1	1	1		
2	2	2	najdražu filmsku antijunakinju bridget jones prvi put smo gledali na ekranima 2001., kada smo zahvaljujući njezinom dnevniku otkrili sve o njezinoj želji za pronalaskom savršenog muškarca i skidanju suvišnih kila.	1	1	1	1	1	1		
2	2	3	nakon tri filma, bebe, jednog vjenčanja i dva fizička obračuna između colina firtha i hugha granta, naša vječna romantičarka se vraća, ali ovoga puta njezin život nije cvijeće.	1	1	1	1	1	1		
2	2	4	u novom nastavku filma o bridget jones ‘luda za njim‘, bridget (renee zellweger) majka je dvoje djece koje odgaja sama jer je ljubav njezina života mark darcy (colin firth) poginuo u sudanu.	1	1	1	1	1	1		
2	2	5	a sve je bilo gotovo savršeno.	0	0	0	1	0	1		
2	2	6	nakon dva desetljeća anksioznosti i panike jer je u ‘određenim godinama‘, naša kaotična junakinja uspjela je ostvariti svoj san.	0	0	0	0	0	0		
2	2	7	udala se za marka darcyja, emocionalno suzdržanog odvjetnika specijaliziranog za ljudska prava s kojim je dobila dvoje djece – sina billyja i kći mabel te lijepu kuću smještenu u sjevernom londonu.	0	0	0	0	0	0		
2	2	8	u 51. se našla na prekretnici koja ju je uvijek toliko mučila – odjednom je opet postala solerica, i to ne zbog debljine, neumjerenog uživanja u alkoholu, brzopletosti ili bilo koje osobine za koju je uvjerena da je koči.	2	2	2	2	2	2		
2	2	9	ukratko, četvrti nastavak filma je savršen.	0	0	0	0	0	0		
2	2	10	za razliku od prva tri dijela kad smo se smijali s njom i pratili je u potrazi za savršenim muškarcem, ovaj film istražuje tugu, gubitak, majčinstvo i prijateljstvo.	1	1	1	1	1	0		
2	2	11	nisam očekivala da ću plakati, ali u nešto više od dva sata, barem sam pet puta morala brisati suze.	0	0	0	0	0	0		
2	2	12	film počinje četiri godine nakon tragične smrti marka darcyja.	1	1	1	1	1	1		
2	2	13	unatoč gubitku ljubavi života, ne može se prepustiti tugovanju.	1	1	1	1	1	1		
2	2	14	nosi se s time kako zna, a pod pritiskom starih prijatelja shazzer, jude i toma pokušava krenuti dalje sa svojim životom.	1	1	1	1	1	1		
2	2	15	iako nevoljko, vraća se na posao kako bi ‘pridonijela društvu‘ te se slučajno pridružuje tinderu.	1	1	1	1	1	1		
2	2	16	i dalje je rasuti teret, zaboravlja se počešljati ujutro, ali njezine prijašnja maštanja o tome kako će umrijeti sama i da će je pojesti njemački ovčar, zamijenila je stvarnost života gdje bridget ne želi biti s bilo kime, već s onim koji više nije tu.	1	1	1	1	1	1		
2	2	17	i baš u tom trenutku shvaćamo koliko je naša heroina odrasla - i nasušno joj treba seks, po mogućnosti s mlađim frajerom.	1	1	1	1	1	1		
2	2	18	a taj mlađi frajer kojeg igra preslatki leo woodall, 29-godišnji je apsolvent roxster koji joj priskoči upomoć kada ona i djeca zapnu na drvetu i zatim je pronađe na tinderu.	1	1	0	1	1	0		
2	2	19	roxster je brižan, super u krevetu i seksi, a jedan od najboljih prizora je posveta sceni iz ‘ponosa i predrasuda‘ kada colin firth izlazi iz jezera.	0	0	0	0	0	0		
2	2	20	iako se u filmu scena odvija na rođendanskoj zabavi, gdje svi prijatelji bridget jones sline za mladim i zgodnim roxsterom, jasno je o čemu se radi.	1	1	1	1	1	1		
2	2	21	dobar reality check je činjenica da veza s puno mlađim muškarcem nema sretan završetak, pa je očito tako treba i prihvatiti.	1	1	1	1	1	1		
2	2	22	četvrti dio je mnogo više o bridget jones nego o ljubavnom trokutu i priči tipičnoj za romantične komedije, iako imamo lik scotta wallakera (chiwetel ejiofor), zgodnog i ukočenog profesora koji predaje prirodne predmete njezinom sinu.	0	0	1	1	1	1		
2	2	23	u filmu možemo vidjeti reference na prijašnje nastavke – od večere s ‘prijateljima‘ koji ponižavaju bridget i scene u baru sa shazzer, tomom i jude, njezinih legendarnih gaća... također se pojavljuje i vesta sa sobom, i kad je primijetite, srce će vam se raspuknuti.	0	0	3	3	0	1		
2	2	24	stisnut će vas u grlu i kad na red dođu scene s njezinim roditeljima i neprežaljenim darcyjem.	0	0	0	0	0	0		
2	2	25	film je prepun emocionalnih scena – u jednoj od njih bridget se obraća marku dok drži njegov sat što savršeno pokazuje kako tuga nije linearna.	0	0	0	1	0	0		
2	2	26	osjećamo i razumijemo njezine strahove kako krenuti dalje bez da zaboravi prošlost, na koji način odgajati djecu nakon smrti njihova oca te koliko je teško očuvati uspomenu na njega.	0	0	0	0	0	0		
2	2	27	da, bridget je sazrela, ali je i dalje luckasta, zabavna i neobična.	0	0	0	0	0	0		
2	2	28	svi u njezinom svijetu – od mame do daniela cleavera i dadilje su dobronamjerni, zabavni, bez filtera i nevjerojatno šarmantni.	1	0	0	0	1	0		
2	2	29	kad god se hugh grant pojavi na platnu, ukrade scenu – i dalje ševi sve što hoda, ali kriza srednjih godina prijeti njegovom identitetu plejboja.	0	0	0	0	0	0		
2	2	30	nije spojler ako otkrijemo da je profesor wallaker bridgetin sretan kraj.	1	1	1	1	1	1		
2	2	31	od ukočenog i hladnog muškarca postaje brižan i opušten na isti način na koji je to bio mark darcy – vječna ljubav naše omiljene romantične junakinje.	1	1	1	0	1	0		
2	2	32	baš poput bridget, možda nismo tako bezbrižne kao što smo bile te daleke 2001., ali još uvijek možemo pronaći utočište u činjenici da je ona jedna od nas.	0	0	0	0	0	0		
2	2	33	savršena u svojoj nesavršenosti.	0	0	0	0	0	0		
2	2	34	jednako kao što je i ovo zadnje poglavlje jedne od najdražih filmskih franšiza.	0	0	0	0	0	0		
2	3	1	bridget jones: luda za njim četvrti je film svima nam drage naslovne junakinje.	1	0	1	0	1	1		
2	3	2	ovaj film redatelja michaela morrias novi je iskreni pokušaj da ju još jednom zavolite.	0	0	0	1	0	0		
2	3	3	ova nova bridget je zakoračila u novu fazu svog života ali je jednako privlačna.	1	1	1	1	1	1		
2	3	4	i ovoga puta tumači ju simpatična renée zellweger a ljubavne jade joj donose chiwetel ejiofor i leo woodall.	0	0	0	0	0	0		
2	3	5	britanska spisateljica helen fielding objavila je 1996. godine roman dnevnik bridget jones (bridget jones’ diary) koji je brzo postao međunarodni bestseler.	1	1	1	1	1	1		
2	3	6	tri godine kasnije objavila je jednako uspješni nastavak bridget jones: na rubu razuma (bridget jones: the edge of reason).	1	1	1	1	1	1		
2	3	7	uspjeh tih romana privukao i filmske producente koji su u njemu vidjeli također potencijalni hit.	0	0	0	0	0	0		
2	3	8	tako je 2001. godine snimljen istoimeni film po prvom romanu autorice fielding.	1	1	1	1	1	1		
2	3	9	bio je apsolutni hit koji je snimljen s budžetom od oko 25 milijuna dolara a donio je zaradu od 334 milijuna.	0	0	0	0	0	0		
2	3	10	godine 2004. uslijedio je i i nastavak koji je također bio vrlo uspješan – budžet od oko 40 milijuna dolara donio je zaradu od preko 265 milijuna.	0	0	0	0	0	0		
2	3	11	spisateljica helen fielding ponovno se vratila svojoj junakinji 2013. godine romanima bridget jones – luda za njim (bridget jones: mad about the boy) te drugo stanje bridget jones (bridget jones’s baby) iz 2016. godine, koji je uspješno ekraniziran iste godine (budžet od 35 milijuna dolara i zarada od gotovo 212 milijuna).	1	1	1	1	1	1		
2	3	12	dakako, ekraniziran je i roman bridget jones: luda za njim i on je upravo stigao u naša kina.	1	1	1	1	1	1		
2	3	13	zvijezda svih filmova o bridget jones je dvostruka oskarovka renée zellweger (judy, 2019., studengora/cold mountain, 2003.).	1	1	1	1	1	1		
2	3	14	tu treba reći da je britanska publika prije prvog filma bila vrlo skeptična prema njoj.	2	2	2	2	2	2		
2	3	15	i to zato što je ona rođena u teksasu.	2	2	2	1	2	1		
2	3	16	no, čitava stvar se smirila nakon gledanja filma i spoznaje da je ona savršeno ovladala britanskim engleskim naglaskom.	0	0	0	0	0	0		
2	3	17	u ovom najnovijem nastavku bridget jones (renée zellweger) je majka 10-godišnjeg billyja (casper knopf) i 6-godišnje mabel (mila jankovich).	1	1	1	1	1	1		
2	3	18	još uvijek tuguje zbog marka (colin firth), koji je izgubio život na tragičan način.	1	1	1	1	1	1		
2	3	19	na nagovor prijatelja ona, iako nevoljko, počinje okretati novu stranicu u životu.	1	1	1	1	1	1		
2	3	20	vraća se poslu tv producentice, bavi se aplikacijama za spojeve i općenito osjeća da je njezin prethodni život stvar prošlosti.	1	1	1	1	1	1		
2	3	21	jer ona je predana majka, vodi borbene razgovore s billyjevim učiteljem prirodnih znanosti g. wallikerom (chiwetel ejiofor), koji ne nudi mnogo utjehe o životu poslije markove smrti.	0	3	1	1	1	1		
2	3	22	uskoro joj je život mijenja kada upozna 29-godišnjeg roxstera (leo woodall), nakon nespretne avanture penjanja na stablo u parku.	1	1	1	1	1	1		
2	3	23	bridget se s njime upušta u vezu, unatoč razlici u godinama i na zadovoljstvo njezinih prijatelja i kolega.	1	1	1	1	1	1		
2	3	24	no, može li to uspjeti na duge staze?	2	2	2	2	2	2		
2	3	25	pogotovo kada ju u prikrajku možda čeka i prava ljubav… od zadnje ekranizacije bridget jones prošlo je devet godine.	1	1	1	1	1	1		
2	3	26	no, ovaj nastavak je puno više od puke nostalgije koja bi se eventualno mogla očekivati.	0	0	0	0	0	0		
2	3	27	on je, jednostavno, novi iskreni pokušaj da ju još jednom zavolite (ili se zaljubite) u bridget.	0	0	0	1	0	0		
2	3	28	njegova privlačnost temelji se na tome da je glavna junakinja zakoračila u novu fazu svog života nakon tragičnog gubitka marka (udovica i samohrana majka) a tu su i njezine godine (kao dodatni element svemu).	0	0	0	0	0	0		
2	3	29	tu se krije i jedna osobna zanimljivost vezana za autoricu fielding.	1	1	1	1	1	1		
2	3	30	taj segment priče temelji se na njezinoj vlastitoj tragediji iz stvarnog života u kojoj je izgubila svog supruga kevina currana (preminuo nakon teške bolesti), inače jednog od scenarista i producenata popularnog animiranog tv serijala simpsoni (the simpsons, 1998.-2015.).	1	1	1	1	1	1		
2	3	31	film tako istražuje tugu i sjećanje ali i ono “međuvrijeme” a to sve zajedno itekako nose jednu emocionalnu težinu.	1	1	1	1	1	0		
2	3	32	i to je onaj glavni element zašto je ova bridget jones drugačija od one koju smo upoznali 2001. godine.	1	0	0	1	1	0		
2	3	33	ono što krasi i ovaj film je humor koji je i jedan od zaštitnih znakova čitavog serijala.	0	0	0	0	0	0		
2	3	34	u tom pogledu ostaje veliki plus što je helen fielding je, kao i na prethodnim filmovima, sudjelovala i kao scenarist.	0	0	0	0	0	0		
2	3	35	u tom poslu društvo su joj pravili dan mazer (drugo stanje bridget jones (bridget jones’s baby, 2016.) i abi morgan (hvaljena tv serija raskid/split, 2018.-2024.).	1	1	1	1	1	1		
2	3	36	u prilog tomu ide što su svi glavni likovi napisani veoma dobro i da svaki od njih nosi određeni šarm.	0	0	0	0	0	0		
2	3	37	renée zellweger tu je i dalje prvo ime i tako će uvijek biti.	0	0	0	0	0	0		
2	3	38	uz nju, ponajviše smijeha u film unose hugh grant, koji ponavlja svoju ulogu ženskaroša daniela cleavera i oskarovka emma thompson (howard’s end, 1996.) u ulozi bridgetine ginekologinje.	1	1	0	1	1	0		
2	3	39	redatelj filma je michael morris (za leslie/to leslie, 2022.) i može se reći da je svoj posao doradio sasvim solidno.	0	0	0	1	0	0		
2	3	40	glavne stavke prijašnjih filmova serijala – dirljiv i zabavan – uspio je uhvatiti pa čak u neku ruku i nadograditi.	0	0	0	0	0	0		
2	3	41	na kraju krajeva, ovaj film trebamo gledati i kao (vjerojatni) oproštaj od drage nam bridget jones, koja je do kraja ostala vjerna sebi.	0	0	0	0	0	0		
3	1	1	stvarna bol novi je film jesseja eisenberga, filmaša kojeg primarno znamo po glumačkim ostvarenjima, ali koji se već ranije okušao kao scenarist i redatelj.	1	1	1	1	1	1		
3	1	2	ovo je za njega vrlo osoban projekt koji propitkuje njegov odnos prema svijetu u ulozi davida, osobe od krvi i mesa, ali i u ulozi židova, s obzirom da je judaizam inherentni dio njegove osobnosti.	1	1	1	1	1	1		
3	1	3	premijerno prikazan na sundanceu još u siječnju 2024. godine, film se tek krajem prošle godine počeo pojavljivati u kinima, s tim da nije imao široku kino distribuciju nego je parcijalno prikazivan po zemljama.	1	1	1	1	1	1		
3	1	4	snimljen sa samo tri milijuna dolara, film je ipak uspio zaraditi gotovo 20 milijuna, što nije impresivna brojka, ali je višestruko otplatio uloženi novac, što je svakako veliki uspjeh.	3	3	3	3	3	3		
3	1	5	ovo je eisenbergov drugi redateljsko-scenaristički uradak – nakon zanimljivog indie filma kada završiš sa spašavanjem svijeta iz 2022. godine – i treba se priznati da se slavni glumac prilično dobro snalazi i iza kamere, iako je u ovom filmu igrao i glavnu ulogu.	0	0	0	0	0	0		
3	1	6	međutim, iako je stvarna bol prilično uspješno obradila temu koju je trebala obraditi i u cjelini nam je donijela zabavno i simpatično iskustvo, treba istaknuti kako se ne radi o savršenom filmu, što ćemo objasniti u pasusima koji slijede.	3	3	3	3	3	3		
3	1	7	žanrovski je stvarna bol vrlo polivalentan film.	1	1	1	1	1	1		
3	1	8	iako se primarno radi o dramediji, film ponekad nevješto balansira između dramskih i humorističnih elemenata, ubacujući pritom putopisne i povijesne elemente koji su isprepleteni s ostalim žanrovskim odrednicama, tako da je teško precizirati onaj dominantni žanr koji ovaj film čini tako specifičnim.	1	1	1	1	1	1		
3	1	9	stoga je najbolje držati se činjenice da se radi o indie filmu, a kada pričamo o toj američkoj varijanti art filma, onda generalno znamo da je žanr vrlo fluidna kategorija u tim slučajevima.	1	1	1	1	1	1		
3	1	10	dramski elementi ogledaju se u dramskom sukobu između davida (jesse eisenberg) i benjija (kieran culkin), a koji je prikazan kako na osobnoj, tako i na povijesno-civilizacijskoj razini, jer david i benji određeni su kako vlastitim sadašnjostima – oni su akumulacija vlastitih iskustava i odluka u stvarnom vremenu, osobe od krvi i mesa – tako i prošlostima koje, suštinski, nisu njihove vlastite prošlosti, ali im pripadaju generacijski jer su potomci poljskih židova koji su bježali od holokausta, tako da ih i njihov judaizam određuje kao osobe.	1	1	1	1	1	1		
3	1	11	kvaka je u tome što su david i benji „tek“ treća generacija američkih židova i sa stvarnim iskustvom holokausta imaju jako malo dodirnih točaka, osim pokojne bake.	1	2	1	1	1	1		
3	1	12	i upravo ta baka služi kao kohezivno sredstvo koje – na ovaj ili onaj način – povezuje cijeli film.	0	0	0	0	0	0		
3	1	13	njezina smrt poveže davida i benjija nakon puno godina (njih dvojica, iako bliski kao djeca, razdvojili su se kada se david posvetio „ozbiljnom životu“, dok je benji ostao u vlastitoj nezrelosti), njezina smrt odvodi ih u poljsku i njezina smrt u konačnici čini njihovo iskustvo posebnim.	1	3	3	0	1	0		
3	1	14	iako te bake u filmu nema, ona je odsutni lik koji je esencijalan za razumijevanje svih žanrovskih odrednica u filmu.	0	0	0	0	0	0		
3	1	15	taj dramski sukob o kojem govorimo dobro je postavljen i jasno je da se radi o sukobu svjetova u cjelini.	0	0	0	0	0	0		
3	1	16	david je neurotični, iznimno zreli, promišljeni poslovni čovjek iz new yorka koji ima suprugu i dijete koje voli i koji racionalno pristupa ovom putovanju.	1	1	1	1	1	1		
3	1	17	benji je, s druge strane, nezreo, dijete u tijelu odraslog čovjeka, emocionalno nestabilan i s manjkom kontrole, ali je pri tome izrazito autentičan i izrazito simpatičan, iako u više navrata ispada seronja.	2	3	3	3	3	3		
3	1	18	njih su dvojica, kao što je rečeno, bili jako bliski kao djeca, međutim razdvojili su se i to je ono što benji zamjera davidu, uz to mu predbacujući da se promijenio.	2	2	2	2	2	2		
3	1	19	međutim, ako očekujete nekakav epski clash tih dvaju svjetova, razočarat ćete se jer toga nema i to je ono gdje film lomi tradicionalnu formulu.	2	2	2	2	2	2		
3	1	20	sukob je prezentiran fragmentirano, kroz nekoliko epizoda koje su isprepletene s ostalim narativnim elementima.	1	1	1	1	1	1		
3	1	21	u tom je pogledu jako važna i interakcija davida i benjija s ostalim likovima koji se nalaze na istom proputovanju s njima, a kroz koju se ogledaju kako njih dvojica, tako i svijet oko njih.	1	1	1	1	1	1		
3	1	22	vrlo je važno, za potpuno razumijevanje dramskog sukoba, pratiti odnos koji njih dvojica imaju s tim likovima i vice versa.	1	1	1	1	1	1		
3	1	23	ti odnosi nisu samo izvor dramskog sukoba, već i cijele serije komičnih situacija, iako je humor ponekad surov, više nego prvoloptaški duhovit.	1	1	1	1	1	3		
3	1	24	ima tu i par stanlio i olio trenutaka (ne doslovno, naravno), ali humor je generalno suhoparan i upravo mu ta suhoparnost – u kontekstu cijelog filma – daje na kvaliteti.	3	3	3	3	3	0		
3	1	25	neće vas rasplakati do suza, ali ćete se nad nekim scenama definitivno zamisliti i vraćati im se.	3	3	3	3	3	3		
3	1	26	povijesni dio prezentiran je također epizodno te se miješa s ostalim elementima – ne bismo vam ovdje spojlali baš sve scene, one se doista moraju doživjeti – i zapravo nas ovo putovanje kroz žanrove dovodi činjenice da je ovo zapravo road movie, što je četvrta važna žanrovska odrednica ovog filma.	0	0	0	0	0	0		
3	1	27	cijeli je film jedno veliko putovanje – neovisno o činjenici da završava na istom mjestu na kojemu počinje (to je u ovom filmu smisleno i izvrsno odrađeno) – kroz živote davida i benjija, kroz poljsku, kroz povijest, kroz sadašnjost i kroz neku potencijalnu budućnost koja je lijepo prezentirana u feel good atmosferi samoga kraja, iako je i ona jednako surova i donekle suhoparna kao i humor u filmu.	3	3	3	3	3	3		
3	1	28	prije onoga što u filmu nije bilo dobro samo bismo kratko prošli kroz glavne likove.	1	1	1	1	1	1		
3	1	29	sporedne likove ćemo preskočiti da vam ne bismo sve spojlali, ali reći ćemo na ovom mjestu da su oni – iako su primarno u funkciji razrade davida i benjija – izrazito važan, dapače neizostavan dio ovoga filma i da svatko od njih nosi neku zanimljivu priču sa sobom, baš kao što povijesno-civilizacijski kontekstfilma i nalaže.	0	0	0	0	0	0		
3	1	30	no, vratimo se glavnim likovima.	1	1	1	1	1	1		
3	1	31	koliko je autobiografskih elemenata u ovome filmu ne znamo, ali kada govorimo o davidu, očigledno je da je jesse eisenberg glumio samoga sebe.	1	3	3	1	1	3		
3	1	32	racionalan, pomalo neurotičan, eisenberg je ponovio uloge koje mu najbolje leže i kao nekakav woody allen za moderno doba prošao je i kroz ovaj film na način da nam je uvjerljivo i na nov način prezentirao ulogu koju smo već vidjeli.	0	0	0	0	0	0		
3	1	33	to je razlog zašto autor ovoga teksta voli eisenberga kao glumca, a david je lik koji je istovremeno i ono najbolje i ono najiritantnije kod njega, ovisno o tome volite li ga ili ne.	3	3	3	3	3	3		
3	1	34	međutim, iako je glavni lik, david je otvorena knjiga od početka do kraja.	0	0	0	0	0	0		
3	1	35	on nije u krivu, ali vi jednostavno ne „navijate“ za njega.	3	3	3	3	3	3		
3	1	36	on je onaj „roditelj“ koji je u pravu i koji na kraju ispada pozitivac, ali jednostavno je previše u pravu i preočito u pravu pa vam baš zbog toga nije toliko zanimljiv.	2	2	2	2	2	2		
3	1	37	ima i on svojih trenutaka (samo)spoznaje, ali generalno govoreći, david je lik vuče ovaj film naprijed, ali ga ne nosi na svojim leđima.	3	3	3	3	3	2		
3	1	38	to čini benji.	1	1	1	1	1	1		
3	1	39	kieran culkin glumac je kojega smo donedavno primarno znali kao „brata onog klinca iz sam u kući“ i, budimo realni (as the great philosopher kazimir hrastek would say), on je to i bio.	2	2	2	1	2	2		
